src	tgt	voc	tok	model	bleu	low_conf_bleu	high_conf_bleu	chrf	low_conf_chrf	high_conf_chrf	chrf++	low_conf_chrf++	high_conf_chrf++	comet	low_conf_comet	high_conf_comet	norm_comet	enc_layers	dec_layers	embs	ffw	params	xPIES	PIES	REVx	REV	efficiency_score	enc/dec ratio	embs/ffw ratio	size_tag	layer sum	layer diff	embs/num_layers	embs/enc	embs/dec	lines	toks	toks/line	ffw/enc	ffw/dec
eng_wiki	ita_wiki	4000	bpe.nof	8_4_256_512_2	13.43615993	13.38444698	13.48787288	45.06898702	45.01183944	45.12613459	41.79577379	41.73972909	41.85181849	0.6038758412	0.603003123	0.6047485594	60.34301807	8	4	256	512	9427968	2.744401406	0.2091897028	1.005909353	1.002568985	0.1495488167	2.000	0.500	small	12	4	21.333	32.000	64.000	50000	1723391	34.46782	64.000	128.000
eng	akk	4000	bpe.nof	6_8_256_256_2	29.70435606	29.49205605	29.91665607	37.99199691	37.80974945	38.17424438	32.71188831	32.55173028	32.87204635	0.9336331563	0.9330509365	0.9342153761	93.36265062	6	8	256	256	9698304	15259683.49	0.2552722886	0.9258262433	0.9483327282	-0.8971442893	0.750	1.000	small	14	-2	18.286	42.667	32.000	45270	630535	13.92831898	42.667	32.000
eng_wiki	ita_wiki	4000	bpe.nof	4_4_256_1024_2	13.40332342	13.35218953	13.45445731	44.91932441	44.86140824	44.97724058	41.69305315	41.63613932	41.74996698	0.6081612767	0.6072709626	0.6090515907	60.76508896	4	4	256	1024	9420800	2.752917011	0.2097271079	1	1	0	1.000	0.250	small	8	0	32.000	64.000	64.000	50000	1723391	34.46782	256.000	256.000
eng	mni	4000	bpe.nof	2_6_256_1024_2	19.45624778	19.30297004	19.60952552	45.80423827	45.66969666	45.93877989	42.11626333	41.97822358	42.25430307	0.6969810054	0.6963665604	0.6975954504	69.67531749	2	6	256	1024	9948160	2.744208867	0.2171886353	1.003323838	0.9747496244	1.235332417	0.333	0.250	small	8	-4	32.000	128.000	42.667	21688	715548	32.99280708	512.000	170.667
eng	mni	4000	bpe.nof	6_8_256_256_2	17.31430785	17.16486275	17.46375295	44.24736673	44.1109516	44.38378185	40.46694852	40.32798218	40.60591485	0.6950498898	0.6944797743	0.6956200052	69.49469622	6	8	256	256	9698304	2.819170278	0.2191837553	0.9603988431	0.9658769665	-0.245165641	0.750	1.000	small	14	-2	18.286	42.667	32.000	21688	715548	32.99280708	42.667	32.000
eng	akk	4000	bpe.nof	12_2_256_512_2	28.60022485	28.38728572	28.81316399	35.02596262	34.83956114	35.2123641	30.37072196	30.20486133	30.5365826	0.9312980682	0.9306980901	0.9318980462	93.10274904	12	2	256	512	9954816	16744471.11	0.2842124886	0.7666337952	0.8517678695	-3.680951406	6.000	0.500	small	14	10	18.286	21.333	128.000	45270	630535	13.92831898	42.667	256.000
eng	akk	4000	bpe.nof	16_2_256_256_2	27.06350219	26.85917312	27.26783127	30.63692073	30.46699819	30.80684327	26.90104992	26.74843087	27.05366897	0.928460166	0.9278842021	0.9290361298	92.85258282	16	2	256	256	9699328	16996548.41	0.3165895191	0.6019904719	0.7646591289	-8.0409158	8.000	1.000	small	18	14	14.222	16.000	128.000	45270	630535	13.92831898	16.000	128.000
deu	dsb	4000	bpe.nof	4_4_256_1024_2	28.09486838	27.98259645	28.20714031	43.00846511	42.89644417	43.12048605	42.51470529	42.40523655	42.62417404	0.6230479876	0.6223062865	0.6237896887	62.27064774	4	4	256	1024	9420800	2.875228678	0.2190452502	1	1	0	1.000	0.250	small	8	0	32.000	64.000	64.000	40195	1032701	25.69227516	256.000	256.000
deu	dsb	4000	bpe.nof	8_4_256_512_2	26.89397982	26.78498884	27.0029708	42.41838361	42.30682343	42.52994379	41.85439412	41.74689908	41.96188917	0.6187279051	0.6179730771	0.6194827331	61.84257304	8	4	256	512	9427968	2.915891196	0.2222613687	0.9720084211	0.9855300156	-0.5896328652	2.000	0.500	small	12	4	21.333	32.000	64.000	40195	1032701	25.69227516	64.000	128.000
eng_wiki	ita_wiki	4000	bpe.nof	2_8_256_512_2	13.10144877	13.05094143	13.15195611	44.66569808	44.61026082	44.72113534	41.35959373	41.3055858	41.41360165	0.5992523806	0.5983289065	0.6001758546	59.91855339	2	8	256	512	9428480	2.769225865	0.2110899506	0.9879339726	0.9935437825	-0.2534197427	0.250	0.500	small	10	-6	25.600	128.000	32.000	50000	1723391	34.46782	256.000	64.000
eng_wiki	ita_wiki	4000	bpe.nof	6_8_256_256_2	13.61249999	13.56087529	13.6641247	45.15866227	45.10640453	45.21092001	41.91667212	41.86486678	41.96847746	0.6080714403	0.6072195944	0.6089232862	60.7675523	6	8	256	256	9698304	2.762279813	0.2147606575	0.98176534	0.9765620501	0.232489524	0.750	1.000	small	14	-2	18.286	42.667	32.000	50000	1723391	34.46782	42.667	32.000
