src	tgt	voc	tok	model	bleu	low_conf_bleu	high_conf_bleu	chrf	low_conf_chrf	high_conf_chrf	chrf++	low_conf_chrf++	high_conf_chrf++	comet	low_conf_comet	high_conf_comet	norm_comet	enc_layers	dec_layers	embs	ffw	params	PIES	ratio_ffw_embs	sum_layers	diff_enc_dec
deu	dsb	4000	bpe.nof	4_12_256_1024_2	28.24919834	28.13843262	28.35996406	44.734	44.61864505	44.84966101	44.04053416	43.92831129	44.15275704	0.6287409272	0.6280075374	0.629474317	62.83276399	4	12	256	1024	17848320	0.399	0.33	16	-8
eng	mni	4000	bpe.nof	4_24_256_1024_2	18.84080353	18.68780817	18.99379889	45.542	45.41122167	45.67289217	41.83052042	41.69562678	41.96541407	0.6946402891	0.6940844198	0.6951961583	69.45043818	4	24	256	1024	30489600	0.669	0.17	28	-20
deu	dsb	4000	bpe.nof	4_16_256_1024_2	27.33616287	27.2295478	27.44277795	44.021	43.91307391	44.1294259	43.41081173	43.30620438	43.51541908	0.6267484368	0.6260512387	0.627445635	62.65623755	4	16	256	1024	22062080	0.501	0.25	20	-12
deu	dsb	4000	bpe.nof	4_4_256_4096_2	28.53373373	28.4246661	28.64280135	43.948	43.83544356	44.06147288	43.48601453	43.37704723	43.59498183	0.6312032874	0.6304826038	0.6319239709	63.09403469	4	4	256	4096	22028288	0.501	1.00	8	0
deu	dsb	4000	bpe.nof	4_4_512_1024_2	29.33705024	29.2161803	29.45792019	46.718	46.60101541	46.83596278	45.87940628	45.76564396	45.9931686	0.6425311533	0.6417405325	0.6433217741	64.20456925	4	4	512	1024	25124864	0.538	1.00	8	0
deu	dsb	4000	bpe.nof	4_24_256_1024_2	27.08398462	26.97641463	27.19155462	44.597	44.48547619	44.70770958	43.83640686	43.72886651	43.9439472	0.6339093823	0.6331777849	0.6346409797	63.37401291	4	24	256	1024	30489600	0.684	0.17	28	-20
deu	dsb	4000	bpe.nof	16_4_256_1024_2	16.1433483	16.07578184	16.21091476	22.425	22.34926058	22.50106587	23.22561963	23.15146829	23.29977097	0.5151679086	0.5145996966	0.5157361207	51.52995624	16	4	256	1024	18897920	0.843	4.00	20	12
deu	dsb	4000	bpe.nof	24_4_256_1024_2	15.52418404	15.46488898	15.5834791	20.332	20.26407747	20.39957097	21.27464655	21.20800174	21.34129136	0.5059330968	0.5054022128	0.5064639807	50.58833249	24	4	256	1024	25216000	1.240	6.00	28	20
deu	dsb	4000	bpe.nof	4_32_256_1024_2	11.52585919	11.48171321	11.57000516	25.882	25.80362639	25.95988706	25.15321971	25.08026947	25.22616995	0.5116395386	0.5110850672	0.5121940099	51.14677161	4	32	256	1024	38917120	1.504	0.13	36	-28
eng	mni	4000	bpe.nof	24_4_256_1024_2	13.63193731	13.50081371	13.76306091	35.267	35.13703968	35.39736102	32.09128673	31.95945408	32.22311938	0.6646390579	0.6640626289	0.6652154869	66.46307972	24	4	256	1024	25216000	0.715	6.00	28	20
eng	akk	4000	bpe.nof	4_4_256_256_2	30.23196291	30.02867276	30.43525307	39.681	39.50346667	39.85832578	34.11364092	33.96003464	34.2672472	0.9322915688	0.9317068877	0.93287625	93.24270464	4	4	256	256	6268928	0.158	1.00	8	0
eng	akk	4000	bpe.nof	4_4_256_512_2	30.02606514	29.81547766	30.23665262	38.669	38.48377741	38.85515348	33.28303658	33.12135432	33.44471885	0.9328112638	0.9321799389	0.9334425887	93.27061954	4	4	256	512	7319552	0.189	1.00	8	0
eng	akk	4000	bpe.nof	4_2_256_1024_2	29.25073498	29.04092289	29.46054706	37.318	37.13276689	37.5026287	32.17475772	32.01434276	32.33517268	0.9330682911	0.9324861069	0.9336504752	93.27845166	4	2	256	1024	7313920	0.196	2.00	6	2
eng	akk	4000	bpe.nof	2_4_256_1024_2	29.90597449	29.69490996	30.11703901	38.948	38.75978884	39.1371928	33.45436528	33.28867716	33.62005339	0.9331660864	0.9325535756	0.9337785971	93.31201516	2	4	256	1024	7841280	0.201	0.50	6	-2
